Ref,Side,X_mm,Y_mm,Rotation_deg,Footprint,Status
J1,F,124.5,125.5,0,ACP:AC_Input_Pads_10mm,PROVISIONAL_NOT_BLADE
F1,F,123.5,115.2,0,ACP:TR5_374_5.08mm,PREPROTO
C1,F,116.0,105.25,0,ACP:R53_1uF_22.5mm,PREPROTO
MOV1,F,108.75,119.25,0,ACP:TMOV14_7.5mm,PREPROTO
R1,B,106.0,102.8,0,ACP:R_1206,PART_TBD
R2,B,112.0,102.8,0,ACP:R_1206,PART_TBD
R4,B,106.0,107.5,0,ACP:R_1206,PART_TBD
R5,B,112.0,107.5,0,ACP:R_1206,PART_TBD
LED1,B,120.0,107.5,0,ACP:LED_1206,PART_TBD
D1,B,120.0,110.4,180,ACP:D_SOD123,PART_TBD
