Net,Pins...
+12V,J2.1,U7.2,U7.3,K1.2,D701.1,C604.1,C605.1,C606.1,C801.1,C802.1,Q3.6
+3V3,U8.5,C902.1,C903.1,U1.1,U1.16,U1.32,U1.48,U1.64,U2.8,U3.6,U4.8,U5.6,R101.1,R210.1,R401.1,R403.1,R405.1,R805.2,TP8.1,FB101.1,J3.1,C110.1,C111.1,C112.1,C113.1,C114.1,D201.1,C212.1,C304.1,C405.1,C406.1
+5V,L801.2,U7.6,C803.1,C804.1,U8.1,U8.3,C901.1,TP7.1,C602.1,C603.1,U6.A3,U6.C4
ACTIVE_OUT,L603.2,C613.1,C301.1,TP6.1
BOOT0,U1.61,R102.1
BUCK_SW,U7.7,L801.1
FORCE_SAFE,U5.4,U1.46,Q2.1,TP4.1
GAN_F1,L601.2,C611.1,L602.1
GAN_F2,L602.2,C612.1,L603.1
GAN_HB,C601.1,U6.D3
GAN_HI,R601.2,R603.1,U6.B4
GAN_LI,R602.2,R604.1,U6.A4
GAN_SW,C601.2,L601.1,TP5.1,U6.C1,U6.D4,Q3.1,Q3.3
GAN_HG,U6.D1,U6.D2,Q3.2
GAN_LG,U6.A1,U6.B1,Q3.5
GND,J1.2,J2.2,J3.2,TP10.1,U1.15,U1.27,U1.31,U1.47,U1.63,U2.4,U3.2,U4.4,U5.3,U7.1,U7.4,U7.5,U7.9,U8.2,C101.2,R102.2,C110.2,C111.2,C112.2,C113.2,C114.2,C115.2,C116.2,C203.2,C210.2,C211.2,C212.2,C303.2,C304.2,R402.2,R404.2,C405.2,C406.2,C501.2,C502.2,C503.2,R503.2,R603.2,R604.2,C602.2,C603.2,C604.2,C605.2,C606.2,C611.2,C612.2,C613.2,Q1.2,Q2.2,R702.2,C801.2,C802.2,C803.2,C804.2,C901.2,C902.2,C903.2,D202.2,R211.2,U3.4,U6.A2,Q3.4
HRTIM_HI_RAW,U1.42,R601.1
HRTIM_LI_RAW,U1.43,R602.1
INJ_C_NODE,C301.2,R301.1
INJ_LINE,R302.1,U3.1,K1.5,K1.6
INJ_R_NODE,R301.2,R302.2,U3.8
ISENSE_ADC,R303.2,C303.1,U1.13
ISENSE_RAW,U3.5,R303.1,U4.3,U4.6,TP3.1
MCU_FORCE_SAFE,U1.57,U5.5,R405.2
NRST,U1.7,R101.2,C101.1,J3.5
PASS2,R501.2,C502.1
PASS3,R502.2,C503.1
PWR_GOOD_5V,U7.8,R805.1,U1.59
RELAY_CMD,U1.58,R701.1
RELAY_GATE,R701.2,R702.1,Q1.1,Q2.3
RELAY_LOW,Q1.3,K1.9,D701.2
SWCLK,U1.50,J3.4
SWDIO,U1.49,J3.3
TEST_A,J1.1,TP1.1,R201.1,C501.1,R501.1,R502.1,R503.1,K1.10
TRIP_HI,U4.1,U5.1
TRIP_LO,U4.7,U5.2
VDDA_FILT,FB101.2,U1.28,U1.29,C115.1,C116.1
VLINE_ADC,R203.2,C203.1,U1.12,TP2.1
VLINE_BIAS,C201.2,R202.1,D201.2,D202.1,U2.3
VLINE_BUF,U2.1,U2.2,R203.1
VLINE_PRE,R201.2,C201.1
VMID,U2.7,U2.6,R202.2,U3.3,U3.7,TP9.1
VMID_DIV,R210.2,R211.1,C210.1,C211.1,U2.5
VTH_HI,R401.2,R402.1,U4.2
VTH_LO,R403.2,R404.1,U4.5
