frequency_hz,0.10_uF_ohm,0.47_uF_ohm,1.00_uF_ohm,4.00_uF_ohm
10.0,159154.94309102357,33862.753848230444,15915.494307819801,3978.873575236499
10.251683791196987,155247.61232651732,33031.40687703567,15524.761231336892,3881.1903060725217
10.509702055469104,151436.208420495,32220.4698757305,15143.620840701577,3785.9052083693527
10.774214221236228,147718.37632222427,31429.441769691013,14771.837630840573,3692.959405858647
11.045383729473151,144091.8187986061,30657.833785917435,14409.18187844398,3602.2954677129
11.323378134699084,140554.29501472443,29905.169151023332,14055.42950002016,3513.857373059173
11.608369208508899,137103.61914924317,29170.982796639284,13710.361913435478,3427.5904763640283
11.900533045710088,133737.65904379633,28454.821072049155,13373.765902853323,3343.4414736682825
12.200050173131023,130454.33488553613,27756.24146388101,13045.433486988888,3261.358369650703
12.507105661167731,127251.61792202534,27074.812322680147,12725.161790598426,3181.290445500322
12.82188923813813,124127.52920767941,26410.112596194504,12412.752919123464,3103.1882275774874
13.144595407514377,121080.13838098425,25761.731569208278,12108.013836412558,3027.0034568443048
13.47542356810575,118107.56247173372,25129.268609762727,11810.756245445074,2952.6890590455823
13.81457813726636,115207.9647375503,24512.332921607267,11520.79647198323,2880.19911562184
14.162268677203782,112379.55352896935,23910.54330272815,11237.955351080544,2809.488835336419
14.518710024466682,109620.58118238636,23323.52790980524,10962.058116376531,2740.514526599163
14.88412242269143,106929.34294018307,22750.924028451638,10692.934292109332,2673.2335704695697
15.258731658689737,104304.17589736432,22192.377849093904,10430.417587779413,2607.604394322715
15.64276920196139,101743.45797405629,21647.544248354614,10174.34579539936,2543.5864461617066
16.036472347718302,99245.60691323003,21116.086575802023,9924.560689266236,2481.1401695607697
16.44008436350824,96809.0793030311,20597.676445935194,9680.907928194578,2420.2269792234965
16.853854639528848,94432.36962311203,20091.993535275902,9443.236960149605,2360.8092371411485
17.278038842724804,92114.00931437744,19598.72538444214,9211.400929221742,2302.850229336289
17.712899074763385,89852.56587156732,19117.567205080682,8985.256584884957,2246.3141431773643
18.15870403398599,87646.64195811821,18648.221691539697,8764.664193482866,2191.166045250232
18.615729181435743,85494.87454275443,18190.39883716477,8549.487451887875,2137.3718597729467
19.08425691106377,83395.93405727675,17743.81575510497,8339.593403280012,2084.898347540467
19.564576724219144,81348.52357502791,17308.196503518313,8134.852354993528,2033.713085386305
20.056985408530736,79351.37800952666,16883.27191506831,7935.137798380246,1983.7844461483664
20.561787221290892,77403.26333277636,16468.779430606737,7740.326330640475,1935.081579126676
21.07929407745493,75502.97581276389,16064.462936939271,7550.297578572853,1887.5743910208398
21.609825742371925,73649.34126967889,15670.07260857432,7364.93412419631,1841.2335273355345
22.15371002936658,71841.2143503926,15285.364753356802,7184.121432197926,1796.0303542424745
22.711283002293538,70077.47782074932,14910.101661891838,7007.747779162082,1751.9369408876978
23.282889183190044,68357.04187523143,14544.051460665032,6835.704184536983,1708.9260421331949
23.868881765154494,66678.84346357369,14186.98796876885,6667.884343296055,1666.9710817222629
24.46962283058318,65041.84563390847,13838.6905581463,6504.184560252483,1626.0461358581354
25.08548357489932,63445.03689203771,13498.944017265861,6344.503685986419,1586.1259171857869
25.716844535913374,61887.43057643446,13167.53841814303,6188.743054345118,1547.1857591669657
26.364095828955584,60368.064248589384,12844.26898662686,6036.806421477598,1509.2016008388584
27.02763738792682,58885.999098323366,12528.935975870685,5888.599906365893,1472.149971946906
27.707879212415893,57440.3193637011,12221.34454290951,5744.0319328164205,1436.0079784426412
28.405241621036797,56030.131765185106,11921.30462826724,5603.013172875384,1400.7532883375434
29.1201555111417,54654.564953682406,11628.630838519792,5465.456491633419,1366.364117904198
29.8530626250707,53312.76897214125,11343.142331741225,5331.276893385306,1332.8192182162234
30.60441582310259,52003.91473036625,11064.662705762263,5200.39146911144,1300.0978620186406
31.37467936327534,50727.193492727,10793.019889172137,5072.719345248723,1268.1798309205954
32.16432918824925,49481.81637844359,10528.046034996361,4948.181633719105,1237.0454029024934
32.973853219389895,48267.013874140524,10269.577416984785,4826.7013831849745,1206.675340129848
33.8037516582528,47082.03535836755,10017.454328445807,4708.203531501237,1177.0508770662998
34.65453729565585,45926.148637793725,9771.520983564295,4592.614859334737,1148.153708878471
35.52673582853066,44798.63949478819,9531.625421142142,4479.863944922318,1119.9659801254834
36.420886184748504,43698.81124610813,9297.61941070211,4369.881119939633,1092.4702737261568
37.337540856121656,42625.98431242094,9069.358360896778,4262.598426453348,1065.649600197063
38.27726623978577,41579.4957983951,8846.7012301662,4157.94957493024,1039.4873871547984
39.24064298817434,40558.69908309978,8629.510439588867,4055.869903277149,1013.9674690759743
40.22826636780146,39562.963420460495,8417.651787872279,3956.2963368865517,989.0740773086069
41.240746627074515,38591.67354952367,8210.994368430516,3859.1673496630137,964.7918303287324
42.278709373364165,37644.2293142895,8009.410488497605,3764.422926006472,941.1057242362282
43.342795959564555,36720.04529287797,7812.775590226672,3672.004523728845,918.0011234839633
44.433663880382625,35818.55043579913,7620.968173726175,3581.85503788105,895.4637518345542
45.55198717860136,34939.187713103966,7433.869721985631,3493.9187654681023,873.479683539139
46.698456861568054,34081.41377019789,7251.364627644422,3408.141371030455,852.0353347327118
47.8737813281649,33244.69859210419,7073.340121558496,3324.4698530703427,831.1174550407101
49.07868680652571,32428.525175969953,6899.686203120791,3242.8525113023825,810.7131193916631
50.31391780276931,31632.38921161214,6730.295572292292,3163.238914708177,790.809720030843
51.58023756102677,30855.79876990643,6565.06356330179,3085.5798703751925,771.3949587299862
52.878428535046815,30098.273998826207,6403.888079973344,3009.8273931006706,752.4568391882677
54.20929287167077,29359.34682694398,6246.6695326414565,2935.934675741757,733.9836596198371
55.573652906475765,28638.560674212036,6093.310776615045,2863.8560602935763,715.9640055233331
56.9723516718925,27935.470169843436,5943.717052152132,2793.5470096773256,698.3867426289108
58.40625341811149,27249.640877119306,5797.795925908194,2724.9640802210065,681.2410100184221
59.876244147099726,26580.649024952123,5655.457233821978,2658.064894815754,664.5162134144982
61.383232160057574,25928.08124603939,5516.613025403503,2592.808116731201,648.2020186343915
62.92814861865439,25291.534321445615,5381.177509389815,2529.1534240736787,632.2883452045247
64.51194812038943,24670.614931455035,5249.067000734916,2467.0614848714895,616.7653601318092
66.13560928843373,24064.93941254096,5120.199868901126,2406.4939327718384,601.6234718278781
67.8001353763173,23474.1335203017,4994.496487419907,2347.4133433344286,586.8533241824848
69.50655488783536,22897.832198216463,4871.8791846909935,2289.7832109070473,572.4457907823997
71.25592221255656,22335.679352078474,4752.272195989442,2233.5679260688826,558.3919692722383
73.04931827732594,21787.327629965777,4635.601616650909,2178.7327536276,544.6831758537312
74.88785121416522,21252.438207613977,4521.795356406271,2125.2438111566175,531.3109399200429
76.77265704498288,20730.680579058113,4410.783094837344,2073.068048059294,518.2669988218173
78.70490038351767,20221.732352414318,4302.49623792618,2022.173225147094,505.5432927617207
80.68577515494812,19725.279050675348,4196.867875671128,1972.527894719139,493.1319598143283
82.71650533361466,19241.013917396376,4093.8327407433835,1924.1013811307898,481.0253310682701
84.79834569930763,18768.6377271516,3993.327168158621,1876.863761839304,469.21592588764446
86.93258261259112,18307.858600643944,3895.2890559386187,1830.7858489148105,457.69644728976283
89.12053480963931,17858.39182435419,3799.657826738743,1785.839171005218,446.4597774363759
91.36355421707866,17419.95967461753,3706.374390417419,1741.9959557438726,435.4989732355876
93.6630267873372,16992.291246019406,3615.3811075246117,1699.2291125891402,424.80726205175137
96.02037335501946,16575.12228400402,3526.621753686618,1657.5122160852588,414.3780375206826
