time_s,voltage_v
0.0,141.4213562373095
0.005,139.8233919094364
0.01,138.2434834824618
0.015,136.6814269370897
0.02,135.13702055930213
0.025,133.6100649143113
0.03,132.1003628208056
0.035,130.60771932548707
0.04,129.1319416778963
0.045,127.67283930552185
0.05,126.23022378919096
0.055,124.80390883873828
0.06,123.39371026894959
0.065,121.9994459757772
0.07,120.62093591282431
0.075,119.25800206809492
0.08,117.91046844100644
0.085,116.57816101966218
0.09,115.26090775838055
0.095,113.95853855547811
0.1,112.67088523130381
0.105,111.39778150652134
0.11,110.13906298063675
0.115,108.894567110769
0.12,107.66413319066007
0.125,106.44760232992245
0.13,105.24481743352104
0.135,104.05562318148688
0.14,102.87986600886009
0.145,101.71739408585958
0.15,100.56805729827661
0.155,99.43170722809006
0.16,98.3081971343006
0.165,97.19738193398162
0.17,96.099118183544
0.17500000000000002,95.01326406021283
0.18,93.93967934371332
0.185,92.87822539816355
0.19,91.82876515417198
0.195,90.79116309113724
0.2,89.76528521974774
0.20500000000000002,88.75099906467923
0.21,87.7481736474878
0.215,86.75667946969608
0.22,85.77638849607068
0.225,84.80717413808856
0.23,83.84891123759009
0.23500000000000001,82.9014760506171
0.24,81.96474623143322
0.245,81.03860081672501
0.25,80.12292020998144
0.255,79.21758616605014
0.26,78.32248177586774
0.265,77.4374914513632
0.27,76.56250091053136
0.275,75.6973971626753
0.28,74.84206849381555
0.28500000000000003,73.99640445226392
0.29,73.16029583436062
0.295,72.33363467037222
0.3,71.51631421054928
0.305,70.70822891134131
0.31,69.90927442176753
0.315,69.11934756994171
0.32,68.33834634974912
0.325,67.56616990767418
0.33,66.80271852977688
0.335,66.04789362881635
0.34,65.30159773151988
0.34500000000000003,64.56373446599592
0.35000000000000003,63.83420854928918
0.355,63.11292577507643
0.36,62.399793001501244
0.365,61.69471813914634
0.37,60.997610139141635
0.375,60.30837898140688
0.38,59.62693566302696
0.385,58.95319218675866
0.39,58.28706154966727
0.395,57.62845773189154
0.4,56.97729568553568
0.405,56.3334913236868
0.41000000000000003,55.69696150955642
0.41500000000000004,55.06762404574476
0.42,54.445397663626295
0.425,53.83020201285522
0.43,53.221957650989495
0.435,52.62058603323224
0.44,52.02600950228889
0.445,51.43815127833902
0.45,50.85693544912156
0.455,50.28228696013187
0.46,49.71413160492978
0.465,49.15239601555697
0.47000000000000003,48.59700765306273
0.47500000000000003,48.04789479813677
0.48,47.50498654184778
0.485,46.96821277648674
0.49,46.43750418651368
0.495,45.912792239606674
0.5,45.39400917781204
0.505,44.881088008794485
0.51,44.37396249718616
0.515,43.87256715603347
0.52,43.376837238340435
0.525,42.886708728707745
0.53,42.40211833506619
0.535,41.92300348050354
0.54,41.44930229518376
0.545,40.980953608357495
0.55,40.51789694046294
0.555,40.060072495315815
0.56,39.60742115238776
0.5650000000000001,39.15988445917179
0.5700000000000001,38.71740462363418
0.5750000000000001,38.27992450675156
0.58,37.84738761513232
0.585,37.4197380937214
0.59,36.9969207185876
0.595,36.57888088979224
0.6,36.165564624338494
0.605,35.7569185492004
0.61,35.35288989443056
0.615,34.95342648634578
0.62,34.55847674078974
0.625,34.16798965647167
0.63,33.78191480838041
0.635,33.400202341272845
0.64,33.022802963235925
0.645,32.64966793932139
0.65,32.280749085252495
0.655,31.915998761201735
0.66,31.555369865639015
0.665,31.198815829249206
0.67,30.846290608918512
0.675,30.497748681788728
0.68,30.153145039378735
0.685,29.812435181772383
0.6900000000000001,29.475575111872033
0.6950000000000001,29.142521329717102
0.7000000000000001,28.813230826866697
0.705,28.487661080845843
0.71,28.16577004965432
0.715,27.847516166337712
0.72,27.532858333619675
0.725,27.221755918594884
0.73,26.914168747481988
0.735,26.6100571004358
0.74,26.309381706418147
0.745,26.012103738126665
0.75,25.718184806980847
0.755,25.427586958164845
0.76,25.14027266572618
0.765,24.856204827729897
0.77,24.57534676146748
0.775,24.297662198719824
0.78,24.02311528107386
0.785,23.75167055529197
0.79,23.483292968733807
0.795,23.21794786482983
0.8,22.955600978605954
0.805,22.696218432258796
0.81,22.439766730780928
0.8150000000000001,22.186212757635523
0.8200000000000001,21.9355237704799
0.8250000000000001,21.687667396937414
0.8300000000000001,21.442611630417055
0.835,21.200324825980346
0.84,20.960775696254903
0.845,20.723933307394198
0.85,20.489767075082952
0.855,20.258246760587664
0.86,20.02934246685179
0.865,19.803024634635026
0.87,19.57926403869618
0.875,19.358031784019282
0.88,19.139299302082186
0.885,18.923038347167477
0.89,18.70922099271495
0.895,18.497819627715415
0.9,18.28880695314511
0.905,18.08215597844053
0.91,17.87784001801302
0.915,17.675832687802806
0.92,17.47610790187185
0.925,17.278639869035334
0.93,17.083403089531163
0.935,16.890372351727038
0.9400000000000001,16.69952272886481
0.9450000000000001,16.510829575841633
0.9500000000000001,16.324268526027385
0.9550000000000001,16.13981548811817
0.96,15.95744664302529
0.965,15.777138440799428
0.97,15.59886759758952
0.975,15.42261109263608
0.98,15.248346165298388
0.985,15.076050312115358
0.99,14.905701283899598
0.995,14.737277082864253
1.0,14.570755959782371
1.0050000000000001,14.406116411178369
1.01,14.243337176551163
1.0150000000000001,14.082397235628763
1.02,13.92327580565384
1.025,13.765952338699966
1.03,13.610406519018163
1.035,13.456618260413519
1.04,13.304567703651326
1.045,13.154235213892624
1.05,13.005601378158646
1.055,12.85864700282398
1.06,12.713353111138016
1.065,12.56970094077442
1.07,12.427671941408251
1.075,12.287247772320557
1.08,12.148410300029882
1.085,12.011141595950713
1.09,11.875423934078231
1.095,11.741239788699339
1.1,11.608571832129453
1.105,11.477402932474948
1.11,11.347716151420851
1.115,11.21949474204353
1.12,11.092722146648095
1.125,10.967381994630273
1.1300000000000001,10.843458100362357
1.135,10.720934461103166
1.1400000000000001,10.599795254931493
1.145,10.480024838703011
1.1500000000000001,10.361607746030176
1.155,10.244528685285022
1.16,10.128772537624496
1.165,10.014324355038086
1.17,9.901169358417574
1.175,9.789292935648492
1.18,9.678680639723277
1.185,9.56931818687562
1.19,9.461191454735992
1.195,9.35428648050794
1.2,9.248589459165036
1.205,9.144086741668183
1.21,9.04076483320307
1.215,8.938610391437527
1.22,8.83761022479859
1.225,8.73775129076901
1.23,8.639020694203055
1.235,8.54140568566128
1.24,8.44489365976417
1.245,8.349472153564355
1.25,8.255128844937213
1.2550000000000001,8.16185155098968
1.26,8.069628226487035
1.2650000000000001,7.9784469622974425
1.27,7.888295983854097
1.2750000000000001,7.7991636496347025
1.28,7.711038449658202
1.285,7.623909003998417
1.29,7.5377640613145305
1.295,7.452592497398173
1.3,7.368383313736875
1.305,7.285125636093839
1.31,7.202808713103668
1.315,7.121421914884034
1.32,7.04095473166297
1.325,6.961396772421745
1.33,6.882737763552994
1.335,6.804967547534084
1.34,6.72807608161541
1.345,6.652053436523556
1.35,6.5768897951790795
1.355,6.502575451428809
1.36,6.42910080879244
1.365,6.356456379223324
1.37,6.284632781883215
1.375,6.213620741930922
1.3800000000000001,6.143411089324586
1.385,6.073994757637543
1.3900000000000001,6.005362782887519
1.395,5.937506302379101
1.4000000000000001,5.87041655355925
1.405,5.804084872885771
1.41,5.738502694708554
1.415,5.673661550163448
1.42,5.609553066078677
1.425,5.546168963893547
1.43,5.483501058589434
1.435,5.421541257632803
1.44,5.360281559930203
1.445,5.299714054795042
1.45,5.239830920926071
1.455,5.180624425397374
1.46,5.1220869226598005
1.465,5.064210853553651
1.47,5.006988744332557
1.475,4.950413205698349
1.48,4.89447693184687
1.485,4.839172699524526
1.49,4.784493367095543
1.495,4.730431873619726
1.5,4.676981237940671
1.5050000000000001,4.624134557784244
1.51,4.571885008867283
1.5150000000000001,4.520225844016334
1.52,4.469150392296386
1.5250000000000001,4.418652058149412
1.53,4.368724320542671
1.5350000000000001,4.319360732126617
1.54,4.270554918402329
1.545,4.222300576898358
1.55,4.174591476356852
1.555,4.127421455928911
1.56,4.080784424378985
1.565,4.034674359298323
1.57,3.989085306327253
1.575,3.9440113783862905
1.58,3.899446754915904
1.585,3.8553856811249
1.59,3.8118224672472696
1.595,3.768751487807465
1.6,3.7261671808939494
1.605,3.684064047440977
1.61,3.642436650518463
1.615,3.6012796146299153
1.62,3.5605876250182553
1.625,3.5203554269795228
1.6300000000000001,3.4805778251843025
1.635,3.4412496830068386
1.6400000000000001,3.402365921861724
1.645,3.3639215205480855
1.6500000000000001,3.325911514601172
1.655,3.2883309956512856
1.6600000000000001,3.2511751107899287
1.665,3.2144390619431524
1.67,3.178118105251946
1.675,3.1422075504596516
1.68,3.1067027603063013
1.685,3.0715991499297743
1.69,3.0368921862737555
1.695,3.0025773875023525
1.7,2.968650322421349
1.705,2.935106609905976
1.71,2.9019419183351784
1.715,2.869151965032241
1.72,2.836732515711764
1.725,2.804679383932864
1.73,2.772988430558572
1.735,2.7416555632213226
1.74,2.710676735794502
1.745,2.6800479478699484
1.75,2.649765244241374
1.7550000000000001,2.6198247143936
1.76,2.590222491997596
1.7650000000000001,2.5609547544111924
1.77,2.532017722185459
1.7750000000000001,2.503407658576639
1.78,2.4751208690636237
1.7850000000000001,2.4471537008708566
1.79,2.4195025424966414
1.795,2.392163823246771
1.8,2.365134012773432
1.805,2.3384096206193257
1.81,2.3119871957669256
1.815,2.2858633261928305
1.82,2.260034638427171
1.825,2.2344977971179705
1.83,2.2092495046004386
1.835,2.1842865004711416
1.84,2.1596055611669622
1.845,2.1352034995488394
1.85,2.111077164490197
1.855,2.0872234404700283
1.86,2.063639247170573
1.865,2.040321539079556
1.87,2.017267305096894
1.875,1.9944735681458738
1.8800000000000001,1.9719373847887085
1.885,1.9496558448464387
1.8900000000000001,1.927626071023126
1.895,1.905845218534311
1.9000000000000001,1.8843104747396395
1.905,1.8630190587796707
1.9100000000000001,1.841968221216763
1.915,1.8211552436800373
1.92,1.8005774385143427
1.925,1.7802321484331827
1.93,1.7601167461755813
1.935,1.7402286341668045
1.94,1.7205652441829347
1.945,1.7011240370192224
1.95,1.6819025021621907
1.955,1.6628981574654402
1.96,1.6441085488291278
1.965,1.6255312498830499
1.97,1.607163861673327
1.975,1.5890040123526108
1.98,1.5710493568738033
1.985,1.553297576687226
1.99,1.5357463794412258
1.995,1.5183934986861478
2.0,1.5012366935816663
2.005,1.4842737486074142
2.0100000000000002,1.4675024732768818
2.015,1.4509207018545578
2.02,1.4345262930762575
2.025,1.4183171298726096
2.0300000000000002,1.4022911190956733
2.035,1.386446191248652
2.04,1.370780300218635
2.045,1.3552914230123885
2.05,1.3399775594951138
2.055,1.3248367321321597
2.06,1.3098669857336696
2.065,1.2950663872020813
2.07,1.2804330252825158
2.075,1.2659650103159577
2.08,1.2516604739952502
2.085,1.2375175691238187
2.09,1.223534469377145
