frequency_hz,source_0.1_ohm_db,source_1_ohm_db,source_10_ohm_db,source_50_ohm_db
10.0,-4.4577869364756064e-10,-1.9888500880679997e-08,-1.7419579582546865e-06,-4.3000096501613776e-05
10.251683791196987,-4.684992130882184e-10,-2.0902223131105403e-08,-1.8307458918165893e-06,-4.519180885691746e-05
10.509702055469104,-4.923807827987316e-10,-2.1967612118782624e-08,-1.92405936787155e-06,-4.749523204886827e-05
10.774214221236228,-5.174754764623066e-10,-2.3087305279358714e-08,-2.022129045070172e-06,-4.991605987675544e-05
11.045383729473151,-5.438507970016169e-10,-2.4264069268363937e-08,-2.1251973536293065e-06,-5.2460276343786215e-05
11.323378134699084,-5.715723186844042e-10,-2.5500816354779034e-08,-2.2335190710377266e-06,-5.513417043769734e-05
11.608369208508899,-6.007036871234783e-10,-2.6800595742088274e-08,-2.347361966229286e-06,-5.794435169261071e-05
11.900533045710088,-6.313210841887166e-10,-2.816662635541375e-08,-2.467007455328256e-06,-6.089776650321773e-05
12.200050173131023,-6.634997274225318e-10,-2.9602289126895973e-08,-2.592751295003712e-06,-6.40017153089567e-05
12.507105661167731,-6.973186916772046e-10,-3.11111231383844e-08,-2.724904319218964e-06,-6.726387063277133e-05
12.82188923813813,-7.32861873442352e-10,-3.269686226588171e-08,-2.863793207804135e-06,-7.069229604197316e-05
13.144595407514377,-7.70216062189992e-10,-3.436342842925202e-08,-3.009761286851915e-06,-7.429546608330289e-05
13.47542356810575,-8.094728690294796e-10,-3.611493930684113e-08,-3.1631693811874156e-06,-7.808228722018038e-05
13.81457813726636,-8.507325840173717e-10,-3.795572376471674e-08,-3.324396713126203e-06,-8.206211984931545e-05
14.162268677203782,-8.940945328827622e-10,-3.9890336321581025e-08,-3.4938418291983268e-06,-8.624480143528205e-05
14.518710024466682,-9.39666720301948e-10,-4.192355425578905e-08,-3.6719235905185233e-06,-9.064067082094728e-05
14.88412242269143,-9.875610082610968e-10,-4.406040557084618e-08,-3.85908220558744e-06,-9.526059377647233e-05
15.258731658689737,-1.0378960090386477e-09,-4.630617478137378e-08,-4.055780328667818e-06,-0.00010011598985924917
15.64276920196139,-1.09079708520531e-09,-4.866641062772997e-08,-4.262504184198251e-06,-0.00010521886062821073
16.036472347718302,-1.1463963496240668e-09,-5.1146949219869995e-08,-4.479764784747552e-06,-0.00011058181930610246
16.44008436350824,-1.2048278438128387e-09,-5.375391789465733e-08,-4.708099192364776e-06,-0.00011621812195437813
16.853854639528848,-1.2662410385290204e-09,-5.649376414568914e-08,-4.94807184068287e-06,-0.00012214170022249499
17.278038842724804,-1.3307805828926807e-09,-5.937326430224493e-08,-5.200275929348011e-06,-0.00012836719578546366
17.712899074763385,-1.3986094482457627e-09,-6.239953220823548e-08,-5.465334897525047e-06,-0.00013490999651890435
18.15870403398599,-1.469897356222486e-09,-6.558004718770122e-08,-5.743903955263912e-06,-0.0001417862745322297
18.615729181435743,-1.5448178857669458e-09,-6.892267815300113e-08,-6.036671719014967e-06,-0.0001490130261121136
19.08425691106377,-1.6235590807352492e-09,-7.243567878317743e-08,-6.344361891505018e-06,-0.00015660811374413667
19.564576724219144,-1.7063128422933821e-09,-7.612774249062399e-08,-6.667735071799422e-06,-0.00016459031024164275
20.056985408530736,-1.7932836078644103e-09,-8.000798795617689e-08,-7.007590624190175e-06,-0.00017297934512175135
20.561787221290892,-1.8846864224735494e-09,-8.408601120280085e-08,-7.36476865894825e-06,-0.00018179595337137653
21.07929407745493,-1.9807488674030966e-09,-8.837189234588494e-08,-7.740152095046212e-06,-0.00019106192666607552
21.609825742371925,-2.0817100958649695e-09,-9.287622741605257e-08,-8.134668869461407e-06,-0.0002008001672164284
22.15371002936658,-2.187813118380972e-09,-9.761014668138765e-08,-8.54929420627041e-06,-0.0002110347443578428
22.711283002293538,-2.2993289109694653e-09,-1.0258535514919283e-07,-8.985053039074932e-06,-0.00022179095400644492
23.282889183190044,-2.4165245923389676e-09,-1.0781415281687127e-07,-9.443022543364716e-06,-0.00023309538116449223
23.868881765154494,-2.539696211022027e-09,-1.133094626374288e-07,-9.924334793282771e-06,-0.0002449759655796895
24.46962283058318,-2.6691446371885547e-09,-1.1908486909257886e-07,-1.0430179569794506e-05,-0.0002574620708036083
